variety,country,province,winery,price,points,expert wine description
Chardonnay,France,Champagne,Pierre Gimonnet et Fils,44.5,93.5,"This is an impressively rich nonvintage selection, with tropical fruit as well as a mineral-driven character. It's impressive and would certainly take more bottle aging. A blending of recent good vintages, this young-tasting Champagne is at the delicious fruit stage. It is crisp, citrus-flavored and bright with fruitiness. As it develops, the more mineral texture will come through, giving a richer, impressive wine that retains a zesty character. Ideally wait a few months after purchase before drinking."
Syrah-Grenache,US,California,Limerick Lane,48.0,93.0,"This mostly Syrah blends in 6% Grenache, combining the two grapes from the property's estate into an opaque, juicy expression of black licorice, tar, cigar, grilled mushrooms atop a meaty steak and plenty of black pepper. Big and bold in every sense of the word, it retains just enough acidity to maintain an inviting nature and beguiling floral backbone."
Pinot Noir,US,California,Flying Goat Cellars,48.0,93.0,"Plump black plums and concentrated hibiscus fruit meet with cola, sarsaparilla and tart dried orange rind on the nose of this bottling. The palate is more earth-driven, with crushed rocks, pine needle and mint flavors spicing up the tart plum skins and berries. The texture is excitingly grippy."
Teroldego,Italy,Northeastern Italy,Foradori,48.0,93.0,"At first shy and brooding, this slowly opens up in the glass, offering aromas of black-skinned berry, blue flower, licorice and flint. The palate has concentration and finesse, boasting chewy black cherry, blackberry, chopped mint, anise and mineral alongside firm acidity and lithe tannins. Give this time to fully develop. Drink 2017–2023."
Pinot Noir,US,California,Baxter,48.0,93.0,"This shows a combination of deep fruit flavors and a firm, tight-grained texture that make it classic in style. Black cherry and black currant flavors are wonderfully accented by impressions of pine forest and dried mushrooms. Baxter matured this wine in 100% neutral French oak barrels, so the taste is all about the Langley grapes and not new oak."
Bordeaux-style Red Blend,US,Washington,Sparkman,48.0,93.0,"The sister wine to Ruby Leigh, this Cabernet-based blend is sourced principally from Red Mountain vineyards. It opens with scents of violets and moves into a firm palate mixing cassis, herb and iron shavings. Excellent structure cellaring through 2025."
Cabernet Sauvignon,US,Washington,Double Canyon,48.0,93.0,"Somewhat light in color, this is an aromatically appealing wine that shows a complex assortment of coffee, vanilla, pencil lead, cherry, blueberry and high-toned herbal notes. It's exquisitely polished in its styling, with plush tannins and a long, lingering finish. A pretty expression of the variety that shows a great degree of elegance and deftness, it drinks well out of the gate but continues to improve with additional time to breathe."
Syrah,US,California,Foxen,48.0,93.0,"This dry-farmed vineyard reliably delivers memorable wines, including this Syrah, redolent with notes of oregano, thyme, charred beef and tar. The herbs, fruit and smoke integrate smoothly on the palate, with boysenberry fruit in the background and crushed bouquet garni on the front."
Pinot Noir,US,California,Kynsi,48.0,93.0,"Deep aromas of hibiscus, rose buds, dark red berries and sugar plums are spiced up by cola, crushed pencils and lots of garrigue on this bottling. The palate is clean and crisp, with snappy raspberry, light cranberry and lots more chaparral-like herbs, including wild thyme, bay laurel, lavender and fennel pollen."
Syrah,US,California,Foxen,48.0,93.0,"Violets, bacon fat and caramel sauce are drizzled across blueberry and olallieberry fruits on the nose of this bottling from Billy Wathen and Dick Dore. The palate is expertly integrated and deep with flavors of blackberry, pepper dust, tart black-plum skins, cocoa powder and roasted pork. It conveys classic Syrah flavors, done with grace."
Cabernet Sauvignon,US,California,Smith-Madrone,48.0,93.0,"Grown on the producer's 1,800-foot-high, dry-farmed property west of St. Helena from 40-year-old vines, this is a great wine, structured and elegantly designed to highlight cassis, clove and cigar. Thick, heady tannins soften in the glass, allowing room for enviable structure and a black pepper-dotted finish."
Rhône-style Red Blend,US,California,Bodega de Edgar,48.0,93.0,"A blend of the favorite grapes of winemaker Edgar Torres (60% Grenache) and his wife, Erika (40% Syrah) from Kimsey Vineyard, this bottling shows bright and elegant aromas of boysenberry and elderberry with olive, wet river stone and pine forest. The chalky tannins still need time to evolve, but the black pepper, dark fruit, incense and myrrh flavors are well balanced."
Grenache,US,California,Montemar Wines,48.0,93.0,"Plenty of fresh purple flowers, from violets to lilacs, show on the nose of this bottling, as well as cola spice and a strong core of blueberry fruit. It's lightweight but well structured on the palate, where rose hips, lavender, fennel fronds and tarragon meet with boysenberry and light elderberry. This is still very fresh and young."
Zinfandel,US,California,Robert Biale,48.0,93.0,"This perennial favorite lives up to its word-of-mouth goodness, offering fistfuls of blueberry and huckleberry with a juicy length and throughput of acidity. Soft and strong, it's supple, floral and memorable in its deliciousness."
Rhône-style White Blend,US,California,Bonny Doon,48.0,93.0,"There's a compellingly nutty warmth to the nose of this reserve blend of 66% Grenache Blanc and 34% Roussanne, with pecan and cashew aromas as well as more tart scents of key lime peels and lemon mousse. It lands heavily on the palate with roasted banana flavors and a buttery midpalate, but it is cut immediately by a kumquat tartness. Fascinating sipper."
